,goodreads_book_id,tag_id,count,tag_name,tag_count
60,1244286,"[11978, 18640, 32099]","[6, 4, 2]","['finished', 'love', 'want-to-read']",3
61,969177,"[11978, 18640, 25506]","[3, 8, 3]","['finished', 'love', 'recommended']",3
62,15801967,"[21773, 21689, 24996]","[174, 221, 5]","['nonfiction', 'non-fiction', 'read-2014']",3
63,28815,"[25506, 21773, 21689]","[16, 146, 423]","['recommended', 'nonfiction', 'non-fiction']",3
64,125423,"[7457, 7404, 18054]","[15, 6, 7]","['classics', 'classic', 'library-books']",3
65,51370,"[25506, 21773, 21689]","[3, 18, 30]","['recommended', 'nonfiction', 'non-fiction']",3
66,1422926,"[7457, 7404, 14764]","[20, 7, 3]","['classics', 'classic', 'home-library']",3
67,437885,"[7457, 7404, 24999]","[15, 4, 1]","['classics', 'classic', 'read-2016']",3
68,4122,"[31505, 21773, 21689]","[5, 60, 195]","['unfinished', 'nonfiction', 'non-fiction']",3
69,1563413,"[7457, 7404, 14764]","[17, 5, 2]","['classics', 'classic', 'home-library']",3
70,60431,"[21773, 21689, 18051]","[25, 55, 1]","['nonfiction', 'non-fiction', 'library-book']",3
71,2617684,"[7457, 7404, 31557]","[10, 3, 2]","['classics', 'classic', 'unread']",3
72,13151637,"[25153, 11978, 31505]","[1, 5, 1]","['read-in-2017', 'finished', 'unfinished']",3
73,56452,"[9638, 21773, 21689]","[2, 51, 189]","['dnf', 'nonfiction', 'non-fiction']",3
74,8515,"[21773, 21689, 22944]","[50, 132, 5]","['nonfiction', 'non-fiction', 'paperback']",3
75,3895,"[21773, 21689, 18051]","[14, 44, 2]","['nonfiction', 'non-fiction', 'library-book']",3
76,81922,"[21773, 21689, 22944]","[18, 94, 3]","['nonfiction', 'non-fiction', 'paperback']",3
77,184644,"[21773, 21689, 32099]","[8, 25, 4]","['nonfiction', 'non-fiction', 'want-to-read']",3
78,13151283,"[25153, 11978, 1078]","[1, 8, 1]","['read-in-2017', 'finished', '4-stars']",3
79,356373,"[31505, 21773, 21689]","[4, 13, 46]","['unfinished', 'nonfiction', 'non-fiction']",3
80,7783191,"[21773, 21689, 2277]","[131, 341, 4]","['nonfiction', 'non-fiction', 'american']",3
81,1918702,"[7457, 26735, 11221]","[14, 10, 19]","['classics', 'school', 'family']",3
82,245700,"[22973, 21773, 21689]","[4, 11, 21]","['paranormal', 'nonfiction', 'non-fiction']",3
83,153136,"[7457, 14764, 21773, 21689]","[2, 1, 11, 18]","['classics', 'home-library', 'nonfiction', 'non-fiction']",4
84,141935,"[7457, 15048, 26735, 31557]","[8, 2, 4, 2]","['classics', 'humor', 'school', 'unread']",4
85,1044141,"[11505, 5444, 21773, 21689]","[3, 4, 28, 91]","['favorite-books', 'bookshelf', 'nonfiction', 'non-fiction']",4
86,66354,"[25506, 31505, 21773, 21689]","[12, 24, 241, 755]","['recommended', 'unfinished', 'nonfiction', 'non-fiction']",4
87,153542,"[7457, 7404, 25438, 14487]","[22, 9, 6, 16]","['classics', 'classic', 'realistic-fiction', 'historical-fiction']",4
88,37875,"[25506, 31505, 21773, 21689]","[6, 3, 24, 96]","['recommended', 'unfinished', 'nonfiction', 'non-fiction']",4
89,5559,"[14552, 21773, 21689, 25822]","[2, 20, 92, 2]","['history', 'nonfiction', 'non-fiction', 'reviewed']",4
90,5571,"[14552, 21773, 21689, 26735]","[3, 25, 52, 8]","['history', 'nonfiction', 'non-fiction', 'school']",4
91,181206,"[25506, 21773, 21689, 31557]","[5, 31, 119, 4]","['recommended', 'nonfiction', 'non-fiction', 'unread']",4
92,114308,"[7457, 7404, 26735, 11221]","[19, 8, 14, 6]","['classics', 'classic', 'school', 'family']",4
93,228765,"[25506, 21773, 21689, 32099]","[2, 11, 24, 2]","['recommended', 'nonfiction', 'non-fiction', 'want-to-read']",4
94,570172,"[25506, 31505, 21773, 21689]","[8, 13, 247, 793]","['recommended', 'unfinished', 'nonfiction', 'non-fiction']",4
95,280240,"[7457, 7404, 11221, 18054]","[66, 11, 4, 3]","['classics', 'classic', 'family', 'library-books']",4
96,343614,"[25153, 25147, 21773, 21689]","[2, 2, 19, 57]","['read-in-2017', 'read-in-2011', 'nonfiction', 'non-fiction']",4
97,293595,"[7457, 7404, 15048, 26735]","[77, 33, 34, 39]","['classics', 'classic', 'humor', 'school']",4
98,1908456,"[25506, 21773, 21689, 26735]","[4, 32, 97, 6]","['recommended', 'nonfiction', 'non-fiction', 'school']",4
99,2815949,"[7404, 21773, 21689, 25146]","[2, 19, 45, 2]","['classic', 'nonfiction', 'non-fiction', 'read-in-2010']",4
100,5771014,"[25506, 21773, 21689, 26735]","[10, 144, 358, 4]","['recommended', 'nonfiction', 'non-fiction', 'school']",4
101,760168,"[7404, 15048, 14764, 26735]","[1, 5, 3, 2]","['classic', 'humor', 'home-library', 'school']",4
102,363973,"[7404, 15048, 12680, 26735]","[4, 15, 13, 8]","['classic', 'humor', 'funny', 'school']",4
103,327246,"[7404, 25506, 21773, 21689]","[2, 1, 9, 32]","['classic', 'recommended', 'nonfiction', 'non-fiction']",4
104,1056627,"[25153, 21773, 21689, 9484]","[1, 8, 26, 3]","['read-in-2017', 'nonfiction', 'non-fiction', 'didn-t-finish']",4
105,193093,"[7457, 7404, 26735, 14487]","[66, 30, 10, 5]","['classics', 'classic', 'school', 'historical-fiction']",4
106,2508854,"[11505, 11978, 21773, 21689]","[4, 5, 5, 33]","['favorite-books', 'finished', 'nonfiction', 'non-fiction']",4
107,203805,"[14552, 21773, 21689, 14467]","[14, 11, 12, 1]","['history', 'nonfiction', 'non-fiction', 'historical']",4
108,300905,"[11978, 923, 30672, 14552]","[2, 2, 2, 2]","['finished', '20th-century', 'to-read-fiction', 'history']",4
109,4600,"[7457, 15048, 12680, 14764]","[8, 25, 8, 6]","['classics', 'humor', 'funny', 'home-library']",4
110,7011879,"[18640, 9484, 32099, 6750]","[7, 1, 5, 1]","['love', 'didn-t-finish', 'want-to-read', 'chick-lit']",4
111,180116,"[24997, 25506, 21773, 21689]","[5, 12, 5, 18]","['read-2015', 'recommended', 'nonfiction', 'non-fiction']",4
112,24215,"[32989, 26785, 7457, 7404]","[2, 3, 65, 20]","['ya', 'sci-fi-fantasy', 'classics', 'classic']",4
113,2176873,"[21773, 21689, 22944, 32099]","[13, 30, 2, 3]","['nonfiction', 'non-fiction', 'paperback', 'want-to-read']",4
114,22931009,"[24999, 21689, 25146, 31557]","[1, 6, 1, 1]","['read-2016', 'non-fiction', 'read-in-2010', 'unread']",4
115,762462,"[24999, 21773, 21689, 26735]","[2, 28, 99, 2]","['read-2016', 'nonfiction', 'non-fiction', 'school']",4
116,14480,"[7457, 15048, 12680, 26735]","[3, 9, 2, 3]","['classics', 'humor', 'funny', 'school']",4
117,18419,"[7457, 18640, 26735, 11221]","[11, 72, 83, 118]","['classics', 'love', 'school', 'family']",4
118,19049,"[25153, 21773, 21689, 32099]","[1, 17, 63, 2]","['read-in-2017', 'nonfiction', 'non-fiction', 'want-to-read']",4
119,3061,"[5180, 14552, 21773, 21689]","[1, 1, 18, 37]","['books-i-have', 'history', 'nonfiction', 'non-fiction']",4
120,17339590,"[22973, 11978, 15048, 24995]","[2, 6, 2, 3]","['paranormal', 'finished', 'humor', 'read-2013']",4
121,18711993,"[11978, 5180, 24999, 18640]","[16, 2, 2, 7]","['finished', 'books-i-have', 'read-2016', 'love']",4
122,4099,"[25506, 31505, 21773, 21689]","[9, 10, 56, 192]","['recommended', 'unfinished', 'nonfiction', 'non-fiction']",4
123,18607805,"[11978, 24997, 21773, 21689]","[1, 1, 4, 3]","['finished', 'read-2015', 'nonfiction', 'non-fiction']",4
124,37377,"[7457, 18640, 14764, 11221]","[3, 10, 3, 15]","['classics', 'love', 'home-library', 'family']",4
125,11995136,"[11978, 25506, 31505, 22944]","[13, 2, 2, 4]","['finished', 'recommended', 'unfinished', 'paperback']",4
126,10400407,"[11978, 5180, 18640, 31505]","[11, 2, 4, 2]","['finished', 'books-i-have', 'love', 'unfinished']",4
127,826582,"[15048, 12680, 14764, 26735]","[10, 7, 6, 69]","['humor', 'funny', 'home-library', 'school']",4
128,52629,"[11370, 22973, 26837, 6122]","[2, 1, 1, 2]","['fantasy-sci-fi', 'paranormal', 'science-fiction', 'calibre']",4
129,867248,"[15048, 12680, 26735, 25822]","[9, 9, 6, 5]","['humor', 'funny', 'school', 'reviewed']",4
130,7278837,"[11978, 15048, 12680, 25438]","[2, 4, 6, 14]","['finished', 'humor', 'funny', 'realistic-fiction']",4
131,20317106,"[11505, 11978, 24997, 18640]","[7, 39, 6, 6]","['favorite-books', 'finished', 'read-2015', 'love']",4
132,1129315,"[15048, 26735, 11221, 1078]","[4, 11, 3, 2]","['humor', 'school', 'family', '4-stars']",4
133,2750180,"[11505, 5180, 21689, 9484]","[3, 5, 10, 4]","['favorite-books', 'books-i-have', 'non-fiction', 'didn-t-finish']",4
134,420297,"[7457, 7404, 15048, 26735]","[212, 71, 38, 15]","['classics', 'classic', 'humor', 'school']",4
135,772976,"[11978, 14552, 21773, 21689]","[2, 2, 8, 42]","['finished', 'history', 'nonfiction', 'non-fiction']",4
136,79879,"[7457, 14764, 26735, 18054]","[4, 5, 8, 6]","['classics', 'home-library', 'school', 'library-books']",4
137,18387597,"[11978, 30358, 9484, 8517]","[8, 3, 1, 2]","['finished', 'thriller', 'didn-t-finish', 'crime']",4
138,714711,"[1128, 9638, 21773, 21689]","[2, 2, 5, 52]","['5-stars', 'dnf', 'nonfiction', 'non-fiction']",4
139,845977,"[18640, 21773, 21689, 9484]","[11, 53, 56, 3]","['love', 'nonfiction', 'non-fiction', 'didn-t-finish']",4
140,413158,"[1128, 7404, 15048, 26735]","[3, 11, 19, 8]","['5-stars', 'classic', 'humor', 'school']",4
141,2350129,"[7457, 14764, 21773, 21689]","[3, 2, 23, 47]","['classics', 'home-library', 'nonfiction', 'non-fiction']",4
142,257257,"[5444, 14552, 21773, 21689]","[1, 7, 18, 26]","['bookshelf', 'history', 'nonfiction', 'non-fiction']",4
143,2324124,"[14764, 21773, 21689, 25822]","[2, 22, 44, 2]","['home-library', 'nonfiction', 'non-fiction', 'reviewed']",4
144,582533,"[18886, 24997, 21773, 21689]","[4, 2, 32, 113]","['magic', 'read-2015', 'nonfiction', 'non-fiction']",4
145,165053,"[5444, 14552, 21773, 21689]","[2, 2, 13, 23]","['bookshelf', 'history', 'nonfiction', 'non-fiction']",4
146,760025,"[7457, 25506, 21773, 21689]","[3, 5, 27, 62]","['classics', 'recommended', 'nonfiction', 'non-fiction']",4
147,835495,"[7457, 25153, 11221, 18054]","[4, 3, 11, 6]","['classics', 'read-in-2017', 'family', 'library-books']",4
148,6534132,"[7457, 7404, 25438, 25822]","[31, 13, 9, 11]","['classics', 'classic', 'realistic-fiction', 'reviewed']",4
149,852460,"[14764, 21773, 21689, 32099]","[6, 19, 38, 2]","['home-library', 'nonfiction', 'non-fiction', 'want-to-read']",4
150,823412,"[14764, 21773, 21689, 22944]","[2, 8, 57, 1]","['home-library', 'nonfiction', 'non-fiction', 'paperback']",4
151,770038,"[7457, 7404, 14764, 11221]","[7, 4, 3, 20]","['classics', 'classic', 'home-library', 'family']",4
152,3331756,"[7457, 11978, 14552, 14487]","[7, 4, 6, 11]","['classics', 'finished', 'history', 'historical-fiction']",4
153,773480,"[7457, 7404, 14764, 24995]","[12, 4, 2, 3]","['classics', 'classic', 'home-library', 'read-2013']",4
154,789559,"[7457, 7404, 21773, 26735]","[24, 6, 3, 5]","['classics', 'classic', 'nonfiction', 'school']",4
155,98233,"[31505, 14552, 21773, 21689]","[3, 11, 28, 77]","['unfinished', 'history', 'nonfiction', 'non-fiction']",4
156,468070,"[14764, 21773, 21689, 18054]","[2, 22, 68, 1]","['home-library', 'nonfiction', 'non-fiction', 'library-books']",4
157,831470,"[7457, 5444, 7404, 14764]","[22, 2, 7, 7]","['classics', 'bookshelf', 'classic', 'home-library']",4
158,183554,"[14764, 21773, 21689, 22944]","[3, 15, 66, 2]","['home-library', 'nonfiction', 'non-fiction', 'paperback']",4
159,131830,"[31505, 21773, 21689, 26735]","[3, 41, 32, 2]","['unfinished', 'nonfiction', 'non-fiction', 'school']",4
160,327242,"[5444, 14764, 21773, 21689]","[1, 1, 8, 28]","['bookshelf', 'home-library', 'nonfiction', 'non-fiction']",4
161,838917,"[5444, 21773, 21689, 22733]","[1, 18, 38, 3]","['bookshelf', 'nonfiction', 'non-fiction', 'own-to-read']",4
162,825576,"[7457, 7404, 5180, 14764]","[21, 13, 2, 3]","['classics', 'classic', 'books-i-have', 'home-library']",4
163,533675,"[7457, 7404, 14764, 22733]","[9, 2, 1, 1]","['classics', 'classic', 'home-library', 'own-to-read']",4
164,3885,"[14764, 21773, 21689, 31557]","[4, 5, 14, 2]","['home-library', 'nonfiction', 'non-fiction', 'unread']",4
165,556511,"[7457, 7404, 26735, 18054]","[18, 8, 7, 10]","['classics', 'classic', 'school', 'library-books']",4
166,576570,"[7457, 7404, 26735, 11221]","[85, 14, 3, 2]","['classics', 'classic', 'school', 'family']",4
167,1192,"[14764, 6122, 21773, 21689]","[2, 3, 25, 64]","['home-library', 'calibre', 'nonfiction', 'non-fiction']",4
168,594361,"[7457, 7404, 11221, 18051]","[3, 4, 1, 1]","['classics', 'classic', 'family', 'library-book']",4
169,988170,"[7457, 1128, 7404, 5180, 14764]","[21, 3, 8, 2, 5]","['classics', '5-stars', 'classic', 'books-i-have', 'home-library']",5
170,569346,"[32989, 18886, 22973, 29011, 1078]","[11, 5, 13, 12, 3]","['ya', 'magic', 'paranormal', 'supernatural', '4-stars']",5
171,81948,"[24997, 25506, 31505, 21773, 21689]","[4, 7, 5, 51, 5]","['read-2015', 'recommended', 'unfinished', 'nonfiction', 'non-fiction']",5
172,48697,"[25153, 5444, 14552, 21773, 21689]","[1, 1, 10, 7, 28]","['read-in-2017', 'bookshelf', 'history', 'nonfiction', 'non-fiction']",5
173,1027760,"[7457, 7404, 14552, 22944, 18054]","[19, 9, 2, 2, 6]","['classics', 'classic', 'history', 'paperback', 'library-books']",5
174,1031461,"[7457, 7404, 15048, 14764, 26735]","[30, 9, 5, 3, 5]","['classics', 'classic', 'humor', 'home-library', 'school']",5
175,1034605,"[7457, 11505, 7404, 25506, 12680]","[9, 1, 4, 1, 1]","['classics', 'favorite-books', 'classic', 'recommended', 'funny']",5
176,113946,"[32989, 7457, 1128, 7404, 15048]","[46, 896, 36, 256, 112]","['ya', 'classics', '5-stars', 'classic', 'humor']",5
177,407429,"[32989, 7457, 15048, 12680, 26735]","[22, 47, 335, 79, 24]","['ya', 'classics', 'humor', 'funny', 'school']",5
178,25813921,"[25153, 24999, 31505, 21773, 21689]","[29, 20, 8, 256, 578]","['read-in-2017', 'read-2016', 'unfinished', 'nonfiction', 'non-fiction']",5
179,1603923,"[7457, 7404, 5180, 15048, 14764]","[14, 4, 3, 2, 3]","['classics', 'classic', 'books-i-have', 'humor', 'home-library']",5
180,21394850,"[11505, 24999, 25506, 14552, 21689]","[3, 3, 3, 3, 19]","['favorite-books', 'read-2016', 'recommended', 'history', 'non-fiction']",5
181,826585,"[7457, 15048, 12680, 14764, 26735]","[10, 38, 15, 8, 8]","['classics', 'humor', 'funny', 'home-library', 'school']",5
182,18039755,"[11505, 11978, 5180, 26837, 9638]","[3, 5, 2, 6, 1]","['favorite-books', 'finished', 'books-i-have', 'science-fiction', 'dnf']",5
183,10865206,"[24997, 31505, 21773, 21689, 9484]","[6, 14, 193, 99, 8]","['read-2015', 'unfinished', 'nonfiction', 'non-fiction', 'didn-t-finish']",5
184,6732019,"[11978, 25506, 21773, 21689, 25146]","[9, 18, 125, 563, 13]","['finished', 'recommended', 'nonfiction', 'non-fiction', 'read-in-2010']",5
185,6688121,"[11978, 31505, 32099, 26735, 12948]","[4, 3, 2, 2, 3]","['finished', 'unfinished', 'want-to-read', 'school', 'general-fiction']",5
186,6621287,"[11978, 5180, 18640, 31505, 21689]","[15, 3, 6, 6, 9]","['finished', 'books-i-have', 'love', 'unfinished', 'non-fiction']",5
187,7701043,"[11505, 25153, 11978, 30358, 8517]","[3, 2, 7, 6, 3]","['favorite-books', 'read-in-2017', 'finished', 'thriller', 'crime']",5
188,4765642,"[11978, 5180, 25506, 21773, 21689]","[2, 2, 2, 4, 71]","['finished', 'books-i-have', 'recommended', 'nonfiction', 'non-fiction']",5
189,5664022,"[11505, 11978, 31505, 21773, 21689]","[5, 18, 10, 4, 44]","['favorite-books', 'finished', 'unfinished', 'nonfiction', 'non-fiction']",5
190,11306337,"[24997, 21773, 21689, 24995, 24996]","[2, 28, 82, 4, 3]","['read-2015', 'nonfiction', 'non-fiction', 'read-2013', 'read-2014']",5
191,3692151,"[11978, 15048, 12680, 21689, 24995]","[7, 6, 3, 9, 2]","['finished', 'humor', 'funny', 'non-fiction', 'read-2013']",5
192,967494,"[7457, 7404, 15048, 26735, 11221]","[53, 19, 10, 21, 20]","['classics', 'classic', 'humor', 'school', 'family']",5
193,1298205,"[7457, 7404, 14764, 22944, 26735]","[4, 7, 2, 1, 3]","['classics', 'classic', 'home-library', 'paperback', 'school']",5
194,7769,"[7457, 7404, 15048, 14764, 26735]","[80, 26, 32, 17, 14]","['classics', 'classic', 'humor', 'home-library', 'school']",5
195,6907672,"[22973, 29011, 5444, 32099, 29076]","[2, 1, 1, 1, 2]","['paranormal', 'supernatural', 'bookshelf', 'want-to-read', 'suspense']",5
196,641604,"[24999, 25506, 21773, 21689, 25146]","[4, 9, 64, 51, 4]","['read-2016', 'recommended', 'nonfiction', 'non-fiction', 'read-in-2010']",5
197,920143,"[7457, 1128, 7404, 26735, 11221]","[88, 4, 31, 6, 4]","['classics', '5-stars', 'classic', 'school', 'family']",5
198,10127019,"[24999, 25506, 31505, 21773, 21689]","[9, 11, 21, 115, 403]","['read-2016', 'recommended', 'unfinished', 'nonfiction', 'non-fiction']",5
199,6709,"[25153, 14764, 21773, 21689, 18051]","[2, 2, 25, 100, 3]","['read-in-2017', 'home-library', 'nonfiction', 'non-fiction', 'library-book']",5
200,900065,"[7457, 15048, 14764, 22944, 11221]","[9, 7, 5, 5, 16]","['classics', 'humor', 'home-library', 'paperback', 'family']",5
201,160830,"[24999, 24997, 31505, 21773, 21689]","[2, 3, 2, 34, 121]","['read-2016', 'read-2015', 'unfinished', 'nonfiction', 'non-fiction']",5
202,543505,"[32989, 5444, 7404, 923, 17217]","[3, 4, 26, 6, 3]","['ya', 'bookshelf', 'classic', '20th-century', 'kindle-books']",5
203,18420,"[7457, 31505, 21773, 21689, 32099]","[1, 2, 18, 41, 2]","['classics', 'unfinished', 'nonfiction', 'non-fiction', 'want-to-read']",5
204,12675109,"[24999, 25506, 21773, 21689, 24993]","[3, 5, 29, 124, 3]","['read-2016', 'recommended', 'nonfiction', 'non-fiction', 'read-2012']",5
205,20413,"[7457, 7404, 14764, 21689, 26735]","[178, 54, 6, 11, 14]","['classics', 'classic', 'home-library', 'non-fiction', 'school']",5
206,894072,"[7457, 11505, 7404, 5180, 26735]","[13, 2, 11, 2, 3]","['classics', 'favorite-books', 'classic', 'books-i-have', 'school']",5
207,13589182,"[24999, 25506, 14552, 21773, 21689]","[6, 11, 48, 97, 340]","['read-2016', 'recommended', 'history', 'nonfiction', 'non-fiction']",5
208,232109,"[32989, 7457, 7404, 15048, 26735]","[45, 137, 39, 20, 41]","['ya', 'classics', 'classic', 'humor', 'school']",5
209,20316309,"[11978, 24999, 24997, 31505, 22944]","[18, 3, 3, 6, 3]","['finished', 'read-2016', 'read-2015', 'unfinished', 'paperback']",5
210,858513,"[7457, 15048, 25438, 26735, 11221]","[22, 21, 12, 70, 37]","['classics', 'humor', 'realistic-fiction', 'school', 'family']",5
211,3491072,"[11978, 5180, 31505, 14552, 21689]","[7, 2, 5, 6, 14]","['finished', 'books-i-have', 'unfinished', 'history', 'non-fiction']",5
212,7779,"[7457, 1128, 7404, 15048, 12680]","[275, 14, 90, 51, 11]","['classics', '5-stars', 'classic', 'humor', 'funny']",5
213,33449,"[25153, 24997, 25506, 21773, 21689]","[2, 2, 9, 14, 2]","['read-in-2017', 'read-2015', 'recommended', 'nonfiction', 'non-fiction']",5
214,846066,"[7457, 15048, 14764, 11221, 1078]","[5, 8, 5, 7, 4]","['classics', 'humor', 'home-library', 'family', '4-stars']",5
215,16076787,"[11978, 22944, 24995, 25822, 29076]","[6, 2, 2, 2, 2]","['finished', 'paperback', 'read-2013', 'reviewed', 'suspense']",5
216,42407,"[7457, 7404, 14764, 923, 26735]","[24, 7, 2, 2, 4]","['classics', 'classic', 'home-library', '20th-century', 'school']",5
217,12415695,"[11978, 25506, 21773, 21689, 24993]","[3, 2, 7, 41, 3]","['finished', 'recommended', 'nonfiction', 'non-fiction', 'read-2012']",5
218,18050143,"[25153, 24999, 24997, 21773, 21689]","[8, 9, 16, 52, 201]","['read-in-2017', 'read-2016', 'read-2015', 'nonfiction', 'non-fiction']",5
219,10706934,"[11978, 24997, 31505, 21773, 21689]","[4, 3, 6, 4, 42]","['finished', 'read-2015', 'unfinished', 'nonfiction', 'non-fiction']",5
220,858037,"[7457, 7404, 15048, 14764, 26735]","[21, 5, 8, 5, 4]","['classics', 'classic', 'humor', 'home-library', 'school']",5
221,383196,"[11978, 923, 31505, 21689, 22733]","[2, 2, 2, 2, 1]","['finished', '20th-century', 'unfinished', 'non-fiction', 'own-to-read']",5
222,1713426,"[11978, 25506, 31505, 21773, 21689]","[15, 23, 19, 651, 698]","['finished', 'recommended', 'unfinished', 'nonfiction', 'non-fiction']",5
223,196951,"[7457, 15048, 14764, 11503, 26735]","[4, 4, 3, 4, 6]","['classics', 'humor', 'home-library', 'favorite-authors', 'school']",5
224,646056,"[7457, 7404, 18640, 26735, 11221]","[14, 6, 2, 2, 2]","['classics', 'classic', 'love', 'school', 'family']",5
225,201146,"[7457, 7404, 14764, 26735, 11221]","[87, 39, 10, 13, 21]","['classics', 'classic', 'home-library', 'school', 'family']",5
226,205330,"[7457, 7404, 15048, 12680, 26735]","[18, 10, 47, 13, 8]","['classics', 'classic', 'humor', 'funny', 'school']",5
227,225545,"[7457, 26837, 14764, 11503, 26735]","[3, 4, 4, 3, 7]","['classics', 'science-fiction', 'home-library', 'favorite-authors', 'school']",5
